10817 2	automatic
13783 6357	hits
14479 6364	module
13678 6368	skylines
12041 6371	friendly
14134 6372	exploit
12159 6377	rdbms
13999 6378	crawlers
12474 6382	periodicity
14209 6391	voxelized
14555 6394	extensibility
13810 6397	incidents
13378 6398	microeconomic
13346 6399	summarizing
13884 6400	personalize
13702 6407	sigma
12413 6408	records
12241 6414	quantile
13505 6418	comparable
14296 6420	migration
14064 6426	newsgroup
12064 6431	iceberg
12843 6439	interpretable
14559 6440	bp
13864 6441	som
13562 6449	averaged
12741 6458	dirichlet
11893 6468	subgroup
12820 6473	definite
12656 6479	instability
12352 6480	recycling
12278 6494	declustering
12562 6496	scan
12034 6501	natix
11895 6504	xquery
13397 6505	post
12212 6512	ambient
13432 6515	native
11896 6519	xqbe
11898 6524	genmapper
11899 6525	ogsa
11900 6526	dqp
11902 6532	uminer
12143 6533	bulk
12190 6538	visualizing
11904 6540	limbo
14450 6544	voronoi
12011 6547	persistent
12409 6548	store
13812 6549	merge
14355 6552	informix
14313 6558	udb
14253 6559	reporting
12897 6568	surrogate
11910 6573	fdbs
11911 6574	wfms
11912 6579	approxml
11913 6582	able
12138 6586	converged
11934 6587	guarantees
11914 6589	diet
11915 6590	joining
11916 6596	dbdc
11919 6598	obscure
11920 6599	pass
12142 6610	authorization
14271 6617	adaptable
14437 6618	customizable
12182 6619	dbmss
14021 6622	hyspirit
14386 6625	multiprocessors
11930 6628	mobieyes
11931 6629	continuously
11936 6634	lexequal
11937 6635	multiscript
11940 6640	pick
12259 6641	indicators
11943 6642	ordb
11944 6643	sfb
11945 6651	contiguous
11946 6653	inclusion
12369 6654	pushing
13094 6663	substitutability
11980 6668	unions
13348 6670	cvs
12019 6672	microsoft
14258 6674	sliced
11949 6675	multiway
11951 6682	cobra
11953 6683	hopi
12289 6684	selections
11956 6687	propolyne
14081 6688	pipelined
11957 6697	revalidation
12059 6698	conflicting
14368 6700	teradata
11958 6701	quantification
12844 6703	rectangles
14538 6717	xxl
11966 6719	cat
11967 6720	orrect
11968 6721	nswers
11969 6722	riggers
11974 6723	quasaq
11975 6725	tdb
11976 6726	rights
14523 6727	optimizers
13850 6729	absence
11982 6734	places
11983 6735	hyperqueries
12793 6737	globally
12156 6739	parallelism
11989 6752	conserving
12443 6759	anonymity
12000 6760	publishing
12395 6767	succinct
13792 6768	dom
14353 6771	confidential
13250 6773	untrusted
14168 6779	polynomials
12141 6781	preservation
13236 6789	fair
14054 6791	locations
12664 6795	genomics
14316 6796	freshness
13559 6804	ensembling
12260 6809	lightweight
13336 6811	emails
11990 6812	modelgen
14102 6815	tolerance
12485 6819	icon
14360 6820	latency
13218 6824	negotiating
13433 6828	author
11992 6829	dependable
11993 6830	laboratories
11994 6835	qrs
11995 6836	numbering
14572 6837	possibly
11996 6838	pix
11998 6840	bitemporal
12001 6841	siblings
12004 6842	dbproxy
12005 6843	eshopmonitor
13759 6846	locks
12007 6851	dbxplorer
12216 6854	rdb
14127 6875	app
12012 6877	tier
12015 6878	xomatiq
12016 6879	genomes
12017 6880	proteomes
12018 6881	little
12287 6884	ole
12022 6888	axes
13610 6894	objectives
12023 6896	lixto
13324 6897	column
14309 6900	customization
14404 6910	tuples
12516 6911	hot
14377 6916	norms
12535 6918	majority
13860 6919	mind
12731 6924	seeding
13141 6930	portfolio
12732 6931	respecting
14463 6933	limiting
12734 6936	annotating
12737 6938	conic
12738 6939	smo
12739 6940	tempering
12370 6941	condensed
12743 6947	mincuts
12744 6949	acquire
12745 6950	families
13081 6960	martingale
12715 6966	genes
12671 6967	tsp
12752 6975	awesome
12753 6976	converges
12755 6977	bl
12756 6978	wolf
12760 6980	transductions
12763 6991	hedged
12764 6994	backfitting
12771 7001	prioritised
12772 7004	linearized
13079 7006	norm
12812 7012	bellman
12824 7019	margins
12775 7021	univariate
12776 7023	pitfall
12777 7031	mfom
12779 7037	hyperlink
14013 7042	spelling
13027 7047	evaluations
13249 7055	localizing
12786 7056	placements
12499 7066	huge
12789 7070	preconditions
12791 7072	fictitious
12795 7073	reset
12796 7076	isomap
12806 7081	representational
12808 7082	agglomerative
12809 7083	marginalized
12473 7085	cascading
12813 7089	goes
12814 7092	carefully
12816 7101	idealized
12912 7112	tradeoff
12849 7119	gibbs
14162 7125	share
12823 7126	uneven
13570 7132	jumping
12828 7141	repeats
12863 7146	generate
12830 7149	bands
13309 7152	pool
12831 7153	proto
12832 7154	developmental
12845 7156	analyzers
12834 7157	adversary
12835 7158	rtdp
12353 7159	certainty
13128 7160	synchronous
12704 7163	unbalanced
12580 7165	mml
12840 7170	hyperkernels
12841 7171	reinsertion
13671 7177	choose
13458 7183	actual
12851 7188	lyapunov
12852 7191	scarce
12854 7195	policyblocks
12855 7198	coarticulation
13229 7199	exponentiated
14247 7201	cached
14326 7205	continued
12858 7207	orthotics
12860 7210	tackling
12861 7211	poor
12864 7214	behaviours
14060 7219	se
12867 7224	relativized
12868 7229	faulty
12585 7234	penalized
12869 7236	syllables
12883 7243	regularities
11740 7244	0
12873 7258	paired
12874 7259	hmms
12573 7260	intra
12876 7262	unseen
12879 7270	products
12880 7271	sigmoids
12422 7274	hypergraph
13270 7275	patterned
12882 7277	simplesvm
13186 7282	corrective
12489 7283	maximize
12886 7291	distill
12887 7293	outbreaks
12889 7296	haplo
12891 7297	wilcoxon
12892 7298	mann
12893 7299	whitney
12894 7300	uncorrelated
12898 7314	nonimal
12902 7317	tanner
12903 7318	wong
13796 7325	kernelized
13774 7348	divergences
13448 7353	lagged
13398 7360	drug
13148 7364	centroid
13698 7368	multiplication
12530 7369	nmf
13700 7385	spectroscopy
12728 7394	proximal
13434 7398	hiv
12024 7402	legodb
12025 7411	secondo
14248 7417	peering
13379 7418	catalog
14613 7420	java
12166 7421	corba
12330 7422	decade
14548 7427	eos
13719 7428	memoriam
12035 7430	fledged
12037 7431	boss
12038 7432	optics
12039 7433	xjoin
13498 7434	outer
13316 7445	golden
12042 7448	flyingdoc
13751 7449	dialect
12043 7450	accessible
12052 7456	proxies
12054 7457	vectorizing
14238 7460	tp
14542 7463	coherency
14089 7466	healthcare
12134 7467	millennium
12060 7469	bea
12061 7470	liquid
12062 7471	weblogic
12065 7472	pnp
12066 7473	vitex
12067 7474	assuring
12075 7478	ibom
12079 7480	pagelets
12080 7481	matches
14297 7482	subquery
12348 7485	idea
12083 7486	xsd
12084 7487	interplay
12588 7488	granular
12089 7489	underestimation
12091 7491	sqlcm
12094 7492	gpivot
12099 7496	constantly
12102 7504	presorting
12104 7508	identifiers
12105 7509	oracle
13109 7524	travelling
12908 7536	consequence
12910 7541	lesson
13844 7553	stores
14556 7557	sending
13117 7561	habitats
12917 7562	constructed
12918 7563	preserves
12919 7564	intelligibility
12926 7573	existential
12931 7579	writer
12936 7584	allocatively
12937 7585	budget
12267 7595	sg
12938 7596	covariant
12942 7600	pp
13226 7610	animate
13453 7611	opportunistic
14579 7612	decay
12624 7616	enhancement
12946 7621	sensordcsp
14557 7622	walking
13907 7645	broad
13136 7647	singleton
12952 7648	propagate
12953 7649	thing
12955 7650	roots
12956 7660	parthood
12957 7661	componenthood
13118 7664	automaton
13929 7676	triangulated
12960 7686	dementia
12962 7687	timeml
12963 7689	syntactical
12964 7690	treatments
14461 7692	programmable
12967 7695	undecidability
13184 7699	kb
12972 7711	adversarial
14485 7723	consistently
12974 7730	bdioctl
12975 7731	obligations
12978 7733	flat
12983 7734	nlg
13811 7737	criminal
12979 7741	amalgams
12981 7742	pathologies
14330 7750	standards
12985 7760	prose
14356 7770	vista
12107 7773	recycle
12110 7775	quantiles
14539 7776	resilient
12237 7778	multicast
14394 7782	lineage
12268 7797	wrap
12115 7798	bundles
12116 7799	captivity
14518 7802	hp
12118 7804	acquisitional
12119 7814	nimble
12234 7818	sequenced
12121 7820	modb
14489 7826	postgresql
12125 7829	refresh
12128 7833	gadt
12129 7839	xm
12132 7840	tears
14561 7844	oltp
12139 7847	seminar
12312 7855	outerjoin
13732 7858	pipelining
12230 7863	optimize
12144 7864	deletes
14337 7866	messaging
13314 7870	sums
12148 7876	scaddar
12149 7877	reorganize
12151 7881	bloom
12152 7882	packets
12153 7883	millions
12154 7884	entrans
14084 7886	demo
13813 7889	sort
12158 7893	circumstances
12162 7896	directly
12163 7897	land
12164 7898	tripod
13392 7900	cell
12170 7902	bringing
12171 7903	realm
12173 7904	vtree
12177 7905	nile
12179 7906	thalia
12180 7907	harness
12183 7909	nonstop
12185 7915	metaquerier
12186 7920	clio
12460 7921	hull
12188 7925	hd
12191 7926	gridded
12193 7931	pxml
12988 7937	evaluative
14001 7952	ms
12991 7957	compilability
12992 7959	adhoc
12994 7963	blame
12996 7968	great
12997 7969	customizability
13834 7978	provides
13152 7980	reconfiguring
13358 7989	separate
14504 7990	stacked
13003 7997	tailored
13004 7998	nonemptiness
13006 7999	tweaks
13010 8002	ecu
13011 8003	vindicated
14587 8012	arising
13946 8019	parsimonious
13410 8037	spin
12344 8047	thoughts
13018 8051	hopfield
13310 8052	mark
13020 8054	strongest
13021 8055	weakest
13023 8056	mereotopology
13024 8058	channeling
12298 8065	loci
13110 8068	backbone
14259 8073	braid
14350 8084	wave
13032 8093	predetermined
13036 8098	conformance
13042 8105	oi
13043 8110	resets
14122 8112	asp
13934 8118	themes
14076 8119	stanford
14530 8120	instant
13049 8122	lookups
13050 8127	dtgolog
13052 8149	makespan
12341 8156	inferred
13053 8162	multiset
13728 8170	discrepancy
14112 8174	going
14343 8204	heterogeneity
13059 8205	closer
13060 8207	abandonment
13940 8216	customizing
13063 8219	qcsp
13066 8232	causes
13069 8233	jam
13070 8234	imitates
13073 8237	ladder
13075 8242	cc
14514 8243	cms
13078 8248	reinforcers
14319 8259	phenomenon
12225 8274	periods
12606 8278	revealing
12655 8281	expanding
12371 8290	sequencing
14144 8296	benchmarks
13084 8297	dpll
13085 8301	refutations
13954 8302	bodies
13086 8303	shoq
13092 8304	tableaux
13093 8305	shoiq
13095 8307	connectives
13099 8321	vambam
13893 8330	award
13102 8337	adequacy
12552 8354	isomorphism
13835 8360	explosion
12531 8368	transcription
13107 8373	balance
13867 8381	extracted
14462 8395	deploying
13108 8397	counterpart
13124 8402	trivial
13111 8403	salesperson
13115 8431	neutral
13119 8433	unranked
12576 8435	populations
13121 8436	retraction
13125 8439	allens
13130 8450	mcs
12687 8451	atomic
13132 8452	incentives
14617 8453	extrapolation
14410 8467	universe
13137 8468	establish
14215 8470	finance
13894 8476	lecture
13143 8490	arbitration
13145 8494	overconstrained
13146 8495	kohonen
13259 8496	spontaneous
13150 8501	container
13156 8506	distributionally
12662 8512	statistically
13839 8513	built
13160 8514	nominals
13690 8522	thesauri
13163 8534	flux
13165 8555	insertion
14092 8571	plain
12574 8578	considering
13168 8583	fastslam
13170 8602	sin
13172 8605	workforce
13176 8610	humanoids
13804 8611	residue
13178 8616	reviving
13183 8628	recommenders
13185 8630	lexicalization
13188 8632	programme
13189 8633	guides
12466 8637	examiner
13190 8648	combinatorially
13191 8649	vickrey
13192 8650	payment
13193 8651	exchanges
13194 8653	tower
13195 8654	straw
13196 8660	grael
13425 8684	extreme
13369 8689	tina
14363 8705	exception
13713 8709	levelwise
13203 8715	smdp
13205 8722	odyssey
14631 8732	communicating
13208 8737	absent
13212 8745	weightlifting
13214 8747	distributive
13215 8748	readings
13742 8751	hypertree
13219 8757	kriegspiel
12345 8758	ideas
13222 8761	democracy
13223 8762	clearability
13224 8763	cabob
14338 8775	loading
13227 8776	inanimate
13228 8787	liaison
13230 8791	subgradient
12542 8810	areas
13827 8820	utilities
13237 8831	homophily
12309 8832	big
13238 8839	altricial
13239 8840	precocial
13246 8875	faithful
13252 8891	subsystem
12710 8895	postprocessing
13253 8921	gas
13254 8922	turbine
12663 8940	substitution
12549 8941	disjunction
13255 8943	hownet
12284 8949	cable
12556 8952	predefined
13258 8959	violation
13279 8963	ac
14344 8970	marrying
13268 8973	chaotic
13269 8985	personalizing
13277 9000	credible
13278 9011	lexicalized
12524 9025	occurring
13286 9030	commensurability
13288 9033	epdl
13289 9034	forgettings
12532 9036	binding
13293 9039	recommend
13295 9041	taga
13296 9042	agentcities
13514 9044	unexpected
13484 9051	buyers
14052 9059	threads
13479 9117	count
12203 9136	unbounded
13846 9140	accumulation
13876 9155	tags
12285 9157	oss
13298 9162	spiteful
13964 9183	root
14261 9184	inside
12271 9188	managed
12279 9194	pc
14128 9197	virtue
13331 9206	sale
12579 9211	respond
13302 9213	galactic
13306 9224	architecting
13307 9225	military
13317 9234	clickstreams
13318 9235	tivo
13321 9237	dgx
13405 9238	deviation
12481 9239	drifting
14588 9240	newsgroups
14225 9243	indicator
12504 9246	retail
13327 9250	publications
13329 9251	ease
13330 9256	dualminer
13402 9260	kdd
12458 9261	shopping
13332 9262	purchase
13334 9266	signaling
13335 9267	alarms
13337 9268	folders
13339 9271	transversals
13341 9275	incorporate
13343 9276	secret
13593 9278	lossless
12469 9282	substructures
13350 9288	liped
13351 9289	pva
13356 9290	voxelwise
13359 9295	disconnected
13360 9296	gess
13383 9297	competitors
13763 9298	websites
13361 9299	incspan
13365 9307	squashing
13368 9313	sewep
13370 9314	eliassi
13371 9315	rad
13372 9316	terence
13373 9317	critchlow
13374 9318	ghaleb
13375 9319	abdulla
13377 9325	simplicial
14398 9326	jungle
13384 9328	suppliers
13387 9331	funnel
13388 9332	msn
13391 9337	confusion
13393 9338	tumor
12729 9349	correlating
13394 9350	synopsis
13395 9351	unweaving
13399 9358	matchings
13400 9359	boasting
13401 9361	hepatitis
12560 9362	subgraph
13406 9364	revi
13407 9365	warranty
13408 9366	goodwill
14433 9368	diabetic
13439 9372	airline
13413 9373	arbitrarily
13414 9375	nomograms
13415 9376	simrank
12719 9384	coordinates
13421 9385	violate
13422 9390	surprising
12196 9392	trmeister
12199 9397	quiq
12202 9403	itcompress
13640 9406	obe
12475 9411	warp
12205 9419	nfmi
12208 9421	xr
12209 9422	xparent
12364 9426	bursty
13429 9428	malicious
13430 9429	executables
13435 9433	asteroid
13436 9434	seasonality
13438 9436	svad
13440 9441	passenger
13441 9442	diagnostics
13442 9445	densification
13443 9446	shrinking
13444 9447	diameters
13446 9448	median
13449 9449	dirt
13450 9451	collusion
13451 9452	crop
13454 9455	ioc
12387 9456	partite
13459 9461	missed
13461 9466	solicitation
13462 9467	campaigns
13463 9471	reputations
14160 9472	rethinking
13467 9475	securities
13469 9476	quickstart
13470 9479	nic
13473 9480	hurt
13474 9482	anf
13476 9483	carpenter
14026 9487	cold
14027 9488	start
13478 9489	multinomials
14197 9490	colorful
14465 9492	accelerating
13524 9497	lift
13482 9499	retention
14625 9503	centers
13486 9505	cartwheels
13487 9506	redescriptions
13492 9508	outcomes
13493 9513	admit
13494 9514	treedt
13495 9515	disequilibrium
13499 9516	membrane
13500 9525	orkut
13501 9528	climate
13502 9533	polaris
13503 9536	sea
13550 9539	drifts
13504 9541	phenotypes
13506 9544	paintingclass
13507 9547	tri
13509 9548	metabolomic
12446 9549	blankets
13511 9551	vertically
13516 9556	hub
13518 9561	rightnow
13519 9562	amazon
13521 9566	trick
13970 9568	major
13738 9572	substring
13523 9576	collocations
13525 9577	fund
13526 9579	closegraph
13527 9582	prostate
13528 9583	recurrence
13529 9584	concordance
13530 9585	immc
13532 9586	clope
12049 9587	v
13533 9591	dea
13534 9592	infominer
13536 9593	investing
13708 9594	burst
13538 9595	gpca
13542 9602	pebl
13544 9605	jumps
13546 9607	xrules
13547 9609	diffsets
13553 9649	febrl
14655 9657	urls
12725 9678	peculiarity
12571 9697	publication
14339 9700	navigable
14527 9703	faceted
12658 9705	alzheimer
13552 9710	igb
13554 9711	http
13555 9712	anu
13556 9713	edu
13579 9717	represented
13565 9722	subdue
12635 9731	basket
13568 9739	swf
13695 9747	apriori
13576 9751	timers
12337 9756	bookmarks
13578 9758	postponed
12541 9760	indiscernibility
13581 9763	acausal
13582 9766	noises
13583 9767	gec
13585 9768	blast
13586 9770	ccmine
13587 9772	homologous
13588 9773	yeast
12716 9774	dna
13590 9775	alphabet
13591 9777	visiting
13623 9797	administrative
13598 9800	setred
13599 9804	mpaa
13604 9807	patzip
13605 9808	preserved
13606 9811	toolbox
13607 9813	transmembrane
13608 9814	helix
13612 9818	autosplit
13614 9821	contractible
13615 9822	irregular
13617 9825	adents
13620 9833	cl
13621 9834	gbi
14163 9837	secrets
13625 9848	occupation
13626 9849	crafted
12723 9864	ripple
13629 9865	dbrs
13631 9870	ism
13632 9878	wlpminer
12590 9879	decreasing
13633 9880	masquerades
13634 9882	ffs
13636 9887	drc
13637 9888	bk
13731 9891	multigraph
12668 9952	emi
12651 9956	stars
13703 9973	enriching
13670 9982	hoeffding
12517 9998	unusual
13686 10008	epidemics
13643 10009	derivable
13644 10010	vice
13645 10011	versa
13647 10013	confined
12359 10015	evolve
13650 10028	periodicities
13651 10029	smoteboost
13653 10036	dichotomy
13654 10037	softness
13655 10038	totals
13956 10046	visualisation
13656 10050	exante
13657 10051	anticipated
13658 10056	orange
13665 10059	snaket
13667 10060	patternsin
13674 10063	cocoa
14418 10068	watch
13676 10072	hiclass
13681 10075	pathological
13682 10076	privately
13683 10078	mobimine
13687 10080	physicians
13688 10082	balios
14445 10085	manage
13691 10089	propositionalisation
14666 10090	uml
14323 10095	auditing
12639 10098	zigzag
13696 10105	farmer
13699 10108	mathematically
12518 10115	sax
13705 10143	aaand
13710 10157	facilitators
13712 10158	dependences
14289 10161	dtd
12701 10165	gspan
14577 10181	outlying
14201 10191	flavor
13714 10194	sulq
13720 10206	paris
13721 10207	kanellakis
13722 10208	unambiguity
13723 10212	medians
14502 10222	extendible
12211 10223	hyperion
14277 10227	decomposed
12215 10237	relaximage
12217 10243	vlei
14430 10245	preaggregation
14180 10246	mtcache
14199 10250	speeds
12219 10252	unity
13726 10258	typechecking
14494 10262	deletions
13750 10267	witness
14507 10273	timestamp
12390 10275	sap
12223 10278	hoarding
12621 10281	maple
12228 10282	dsi
12229 10287	multilexical
12231 10292	ossm
12244 10302	stabbing
12247 10307	metasearching
14220 10315	redo
12253 10317	dba
12261 10323	godiva
12262 10324	fjording
12633 10329	disclosure
13729 10333	expect
13921 10334	decaying
12653 10353	cores
13739 10354	monadic
13740 10355	forth
13743 10356	robbers
13744 10357	marshals
13745 10358	guards
12712 10362	fd
14086 10363	watermarking
13748 10369	roads
14145 10372	heavy
14146 10373	hitters
14301 10381	inserts
13754 10407	ftw
13757 10412	progressively
13760 10417	typing
13761 10419	determinacy
13764 10426	algorithmics
13766 10445	codd
14528 10460	multisets
13769 10479	combing
13771 10482	striking
13772 10483	stone
13773 10484	cholesky
13775 10488	statictical
13776 10489	unequally
13777 10490	spaced
13778 10491	ifd
13779 10493	unconnected
13781 10495	genic
13782 10496	patters
13784 10502	mat
13785 10504	closedprowl
13786 10505	continuities
13787 10508	seqindex
13788 10509	loadstar
13793 10514	domisa
13794 10515	adsorption
13797 10518	ionic
13799 10519	approxmap
13800 10522	cooccurrences
13801 10523	clickstream
13803 10524	bitmaps
13805 10525	squared
13807 10528	slope
13808 10529	starclass
13815 10534	backtrace
13816 10535	noncrashing
12376 10538	atlas
13820 10539	autoregressive
13823 10542	zipfian
13824 10543	dataseta
12342 10546	trial
13825 10548	clospan
13826 10549	stamp
13828 10552	foundational
13829 10553	cpar
13830 10558	wfim
13831 10559	charm
14466 10560	cubing
13832 10562	vizcluster
12632 10586	negatives
13837 10612	rescaling
13840 10617	manually
13843 10618	hourly
13959 10619	retrieve
13856 10622	ranks
13845 10623	pda
12421 10624	emailsift
13847 10625	accumulating
13848 10626	factoid
13849 10635	hedge
13851 10641	hyperspace
13852 10642	analogue
13854 10643	perplexity
14597 10645	damping
13855 10646	geotagging
13877 10653	distillation
13865 10656	defscriber
13870 10675	affinities
13871 10677	decodable
13872 10678	searchable
13878 10689	markup
13879 10692	subwebs
13881 10694	armadillo
13883 10703	timeline
13885 10704	odp
13886 10705	yellowpager
13890 10711	reap
13892 10716	prosodic
12628 10717	farm
13895 10718	salton
13896 10721	cutex
13928 10723	plsi
13897 10724	gists
13903 10728	iq
13904 10731	thumbnail
13905 10732	previews
13909 10739	ntcir
13911 10747	popular
13912 10748	mood
13916 10750	marian
13917 10751	ndltd
13919 10753	merit
12533 10758	plsa
14178 10759	say
13922 10762	translingual
13923 10763	geotemporal
13925 10764	ebizsearch
13926 10765	workplace
13931 10770	plural
13932 10771	fourth
13933 10772	racist
13935 10779	nrrc
13936 10780	ria
13938 10782	anchors
14385 10790	inspector
13941 10794	ontoexplo
13945 10797	genres
13947 10803	prefences
13950 10807	ergodic
13957 10815	spirit
13958 10821	comings
12410 10829	archival
13961 10832	scrolling
13962 10833	loquacious
13963 10834	utaclir
13965 10838	crowse
14087 10843	encryption
13972 10848	boomerang
13973 10849	cheshire
13974 10850	inconvenience
13980 10859	earchivarius
13981 10860	pen
13985 10871	personalised
13988 10873	katakana
13991 10879	imaged
13992 10880	pdf
13993 10884	modifications
13994 10885	kleinberg
13995 10886	exponentiation
13996 10887	weblog
14000 10891	recap
12269 10914	generato
14004 10937	bf
14005 10938	numdocs
14007 10943	lost
14011 10948	arranged
14016 10961	filing
14669 10963	diversification
14018 10969	informativeness
14020 10970	impedance
14028 10983	exwrap
14029 10984	manjal
14030 10987	aces
14031 10988	ucair
14032 10989	toolbar
14033 10991	gravitation
14040 11007	biterm
12563 11008	oxford
14047 11023	dragpushing
12338 11026	crawler
14051 11032	idf
14055 11035	recom
14058 11036	chemoinformatics
14061 11050	oov
14063 11052	simfusion
14065 11053	ask
14068 11055	ocfs
14072 11059	including
14074 11061	timber
14335 11114	practices
14602 11118	pocket
14604 11133	seeker
14079 11186	rio
14080 11187	spartan
14082 11190	aurora
14088 11196	hosting
14090 11199	hippocratically
14091 11200	borealis
14093 11201	qxtract
14095 11202	snowball
12280 11204	san
12282 11208	ancillary
12283 11209	sparce
12286 11216	telcordia
12291 11223	bestpeer
12292 11224	peerdb
12294 11231	authenticating
12295 11232	stegfs
12296 11233	steganographic
14456 11240	statement
12299 11246	targitolap
12300 11247	convertible
12302 11248	prefixspan
12305 11250	xsq
12307 11258	twigs
14304 11265	sybase
14305 11266	ase
12310 11268	imax
12313 11269	eels
12314 11270	antijoin
14657 11275	lifecycle
14132 11277	telegraphcq
12316 11290	autolag
12317 11291	lag
12318 11294	phylogeny
12319 11301	varied
12320 11302	indexfabric
12321 11303	tm
14532 11308	alias
12324 11312	integratio
12329 11320	hdov
14179 11327	currency
12331 11331	boxes
12332 11332	nexsort
12335 11337	wmdb
12336 11338	implicated
12339 11340	archetypes
14500 11341	ebusiness
14133 11345	dataflow
14096 11347	streamon
14097 11348	vqbd
14099 11349	dbcache
14100 11351	ui
14101 11352	flexpath
14310 11357	coma
14103 11363	medusa
14107 11369	toxgene
14108 11382	rolex
14312 11383	workspaces
14115 11390	texquery
14117 11391	mystiq
14120 11393	bubbles
14121 11402	stholes
14123 11412	ominisearch
14124 11415	maids
14125 11416	alarming
14126 11417	semex
14129 11431	laziness
14130 11432	dare
14135 11441	factorizing
14137 11444	blas
14138 11446	holism
14139 11447	xcache
14140 11449	dyda
14141 11454	lockx
14143 11464	gangam
12597 11466	crm
14147 11471	diamond
14442 11472	gigascope
14148 11473	roadrunner
14149 11477	contorting
14152 11492	irisnet
14153 11493	verifier
14156 11509	yoo
14157 11511	wsdl
14158 11514	miqis
14159 11517	xl
14161 11519	reviewing
14357 11521	red
14358 11522	brick
14164 11525	ware
14165 11527	statix
14593 11535	encapsulation
14169 11539	chebyshev
14170 11540	filestore
14171 11543	continually
14515 11553	rss
14173 11554	lowell
14369 11572	vldb
14175 11573	infomix
14181 11583	grows
14182 11586	controversies
14183 11590	cubeexplorer
14184 11594	knocking
14185 11595	door
14186 11597	fresh
14187 11598	stagnant
14188 11599	backwater
14190 11609	itqs
14192 11615	cords
14195 11624	proda
14200 11632	udafs
14202 11636	garlic
14205 11654	ipsofacto
14206 11659	optimalities
14207 11660	pipes
14239 11675	born
14210 11680	imap
14211 11682	strg
14216 11684	suspects
14217 11690	xsl
14218 11691	immortal
14221 11696	nalix
14222 11703	xbase
14223 11704	gigabyte
14224 11705	queriable
14307 11708	reed
14226 11712	xmldb
14229 11715	websphere
14230 11717	tributaries
14554 11721	leo
14233 11731	xseq
14234 11733	lasting
14236 11735	exchanging
14242 11756	aviation
14243 11764	ordpaths
14244 11765	insert
14250 11770	percentage
14251 11771	aggregations
14520 11774	mirrors
14254 11776	qursed
14260 11835	xmdvtool
14265 11840	kweelt
14266 11841	cmvf
14267 11849	walkthrough
14268 11853	magnet
14269 11858	dwarf
14270 11859	petacube
14272 11860	rpj
14274 11869	visionary
14275 11884	curler
14276 11891	bursts
14278 11894	vist
14279 11896	graphminer
14281 11899	dogmatix
14284 11915	websources
14285 11917	siebel
14286 11918	rainbow
14288 11920	tricluster
14290 11922	trex
14291 11923	conforming
14292 11924	fossilized
14293 11925	linchpin
14294 11926	trustworthy
14295 11927	alterable
14298 11929	winmagic
14558 11930	topx
14311 11936	steroids
14340 11945	pathfinder
14563 11996	osiris
14299 12053	worlinfo
14303 12054	picodbms
14306 12057	xquec
14308 12061	hippocratic
14540 12068	disseminating
14314 12069	weaving
14635 12070	staging
14318 12072	paranoids
14320 12073	pdt
14321 12074	paving
14324 12076	piment
14331 12092	provisions
14332 12097	returning
14333 12098	rows
14334 12099	hummer
14336 12101	minerva
14345 12119	heptox
14347 12120	multitiered
14352 12132	secured
14359 12138	propel
14361 12140	recency
14365 12141	illuminating
14366 12142	psycho
14370 12148	save
14373 12157	holes
14374 12160	referencing
14378 12165	marriage
14379 12166	lp
14382 12171	wildcard
14383 12185	rdfi
14384 12191	xsearch
14387 12192	rrxf
14389 12193	dags
14390 12195	hifi
14391 12196	fan
14392 12198	hamming
14393 12200	grabber
14399 12215	imemex
14400 12216	escapes
14402 12217	simlarity
14403 12225	shrex
14405 12251	galax
14406 12261	codb
14409 12263	surfing
14411 12264	summarize
14412 12271	notifications
14413 12272	terabytes
14416 12282	spheresearch
14419 12286	staircase
14420 12287	hosts
14421 12289	xwave
14422 12290	rehist
14423 12298	bhunt
14425 12303	straight
14426 12304	linux
14428 12305	rox
14429 12314	integrator
14431 12317	clusteredness
14432 12323	combi
14434 12331	pier
12383 12345	ordbms
14439 12348	baton
14440 12353	timestamping
14441 12355	gpx
14443 12358	heartbeat
14446 12377	striptease
14448 12383	rubicon
14449 12391	fluxquery
14452 12393	balances
14455 12400	chicago
14457 12403	multilingualism
14458 12404	streamglobe
14459 12405	infrastructures
14460 12406	fist
14464 12415	aquery
14467 12417	hubble
14468 12418	folder
14469 12419	cacheportal
14470 12420	hosted
14471 12424	xpathlearner
14472 12425	sash
14473 12426	cxhist
14474 12427	viztree
14512 12432	topss
14476 12438	dewey
14478 12446	multiplex
14480 12451	statemachine
14481 12455	radix
14482 12456	decluster
14483 12459	netcube
14486 12461	microbial
14487 12462	img
14491 12470	barriers
14492 12471	widespread
14497 12498	nexusscout
14499 12502	protdb
14505 12521	shuffling
14506 12522	deck
14508 12525	hands
14511 12532	decisive
14513 12535	toronto
14516 12538	thousand
14517 12539	seconds
14519 12540	proliant
14521 12554	fractured
14522 12562	champagne
14524 12568	mandatory
14525 12570	fas
14529 12575	adaptivity
14533 12578	led
14534 12579	rollups
14535 12581	cockpit
14536 12586	lachesis
14537 12588	xmark
14544 12599	clotho
14546 12600	aida
14551 12607	serv
14549 12615	sit
14550 12617	coalesced
14552 12627	updated
14553 12628	bloomba
14560 12654	ql
14562 12656	dependability
14564 12670	webservice
14565 12678	excel
14566 12683	gorder
14567 12689	multithreading
14568 12690	vxmlr
14569 12691	wmxml
14571 12692	erratic
14573 12695	arena
14574 12697	installations
14575 12698	agflow
14576 12703	costing
