862 124	Yan Zhang
9240 30361	Beno?t Dageville
6891 30396	Paolo Ciaccia
935 30531	Peter M. G. Apers
5346 30723	Arancha Casal
3555 31126	Olivier Y. de Vel
2646 31229	Evimaria Terzi
2647 31230	Athena Vakali
2884 31349	Lois M. L. Delcambre
2885 31350	Shawn Bowers
1251 31378	Chinya V. Ravishankar
1678 31428	Michiharu Kudo
10137 31617	Mudhakar Srivatsa
9960 31641	Naftaly H. Minsky
9617 31768	Wei Yu
9870 31789	Marco Cova
1284 31805	Sharad Mehrotra
2632 31882	Tyrone Grandison
4510 31904	Lloyd Allison
3593 31909	Hugh E. Williams
2036 31911	Ricardo A. Baeza-Yates
9887 31970	Kim Marriott
5883 31995	Richard Cole
2710 32008	Marlon Dumas
8181 32009	Owen de Kretser
4504 32015	Raymond Lau
1003 32017	Peter Bruza
1453 32029	Nicholas Lester
6167 32075	Damien McAullay
4293 32076	Graham J. Williams
6168 32077	Jie Chen
3905 32206	Jiuyong Li
8230 32229	Mingfang Wu
6627 32269	David B. Skillicorn
6628 32280	Simeon J. Simoff
2711 32335	Boualem Benatallah
3556 32594	Tamas Abraham
2784 32676	Frank K. H. A. Dehne
2473 32693	Eamonn J. Keogh
2474 32694	Jessica Lin
5913 32695	Bill Yuan-chi Chiu
2341 32753	Xiaoyun Wu
9430 32772	Malcolm P. Atkinson
3654 33474	Elena Baralis
2371 33475	Stefano Ceri
8566 33478	Mariano P. Consens
8662 33480	Per-?ke Larson
3932 33482	Frank Wm. Tompa
9249 33483	Alejandro P. Buchmann
1524 33501	Alberto O. Mendelzon
2849 33507	Parke Godfrey
1475 33519	Hongjun Lu
1941 33520	Beng Chin Ooi
1417 33521	Kian-Lee Tan
2432 33536	Rajeev Rastogi
1667 33557	Yannis Manolopoulos
1671 33576	Neoklis Polyzotis
3109 33578	Raman Adaikkalavan
1321 33579	Sharma Chakravarthy
1258 33581	Heiko Schuldt
1242 33582	Hans-J?rg Schek
9121 33584	Jens Bleiholder
2730 33585	Felix Naumann
9064 33586	Fuat Akal
1243 33587	Klemens B?hm
2722 33609	Peer Kr?ger
2605 33611	Toshiyuki Amagasa
10143 33613	Kenji Hatano
2606 33614	Masatoshi Yoshikawa
2607 33615	Shunsuke Uemura
1987 33620	Pasquale Savino
2014 33626	Gilles Hubert
1280 33635	Theo H?rder
6615 33638	Ulrich G¨¹ntzer
2749 33639	Omran A. Bukhres
2581 33644	Paolo Atzeni
8483 33647	Christoph Bussler
1841 33665	Caetano Traina Jr.
1842 33666	Agma J. M. Traina
2032 33671	Nieves R. Brisaboa
2033 33672	Jos¨¦ R. Param¨¢
2713 33720	Nectaria Tryfona
1146 33735	Sara Cohen
1668 33745	Yannis Theodoridis
1176 33746	B¨¦atrice Finance
7038 33767	Jean-Fran?ois Boulicaut
1601 33772	Omar Boussaid
1602 33773	Riadh Ben Messaoud
2714 33779	Sotiris Brakatsoulas
2715 33780	Dieter Pfoser
1383 33794	Evaggelia Pitoura
7823 33804	Christopher B. Jones
4361 33817	Yoshitsugu Kakemoto
10140 33825	Geert-Jan Houben
10141 33826	Richard Vdovjak
8983 33832	Vladimir Zadorozhny
2378 33849	Alvaro A. A. Fernandes
3767 33867	Chris Giannella
1054 33875	Moira C. Norrie
2975 33876	G?sta Grahne
2815 33886	Sang Kyun Cha
6596 33887	Antonella Guzzo
6597 33888	Domenico Sacc¨¤
1255 33917	Oliver Haase
1256 33918	Andreas Henrich
1669 33922	Alexandros Nanopoulos
9070 33933	Hector Garcia-Molina
1265 33937	Lilian Harada
1266 33938	Naoki Akaboshi
1267 33939	Riichiro Take
8618 33947	Steffen Rost
2733 33948	Andreas Heuer
3891 33955	Marzena Kryszkiewicz
1745 33967	Gunter Saake
3380 33972	Christian S. Jensen
3381 33973	Simonas Saltenis
9704 33978	Ralph Busse
1676 33981	Erich J. Neuhold
2515 33994	Ralf Rantzau
1310 33995	Yannis E. Ioannidis
1201 34003	Vanja Josifovski
2496 34017	Manuel Barrena Garc¨ªa
9225 34027	Rada Chirkova
3220 34037	Xuemin Lin
2405 34064	Gottfried Vossen
2611 34085	Michael H. B?hlen
3278 34104	Hiroyuki Kitagawa
3279 34106	Atsuyuki Morishima
8391 34108	C. Mohan
3306 34153	Dimitrios Georgakopoulos
5169 34159	Luigi Palopoli
8646 34160	Giorgio Terracina
9487 34162	Tobias Kraft
9488 34163	Holger Schwarz
2516 34164	Bernhard Mitschang
1268 34171	Tadashi Ohmori
4063 34175	Shojiro Nishio
9605 34176	Masahiko Tsukamoto
9766 34177	Keishi Tajima
1746 34190	Eike Schallehn
1747 34192	Kai-Uwe Sattler
9803 34194	Christoph Schuler
1910 34195	Roger Weber
1259 34206	Can T¨¹rker
8925 34224	Giedrius Slivinskas
2523 34241	Panos Vassiliadis
10146 34248	Jin Song Dong
6536 34294	Jef Wijsen
3506 34300	Xiaochun Yang
3238 34301	Guoren Wang
1988 34306	Pavel Zezula
2399 34312	Angela Bonifati
1322 34317	Qingchun Jiang
9431 34319	Ela Hunt
2379 34328	Anastasios Gounaris
1641 34357	Philippe Rigaux
2478 34398	Norbert Ritter
9598 34413	Matthias Gro?mann
9599 34415	Daniela Nicklas
3188 34422	Heikki Mannila
1518 34446	M. Tamer ?zsu
9114 34453	Catriel Beeri
5104 34472	Marc Gyssens
2886 34477	David Maier
9846 34491	Qing Liu
3222 34492	Yidong Yuan
3276 34493	Woong-Kee Loh
1370 34494	Sang-Wook Kim
3052 34501	Michael E. Houle
1551 34507	Federica Mandreoli
1506 34514	Chuan-Heng Ang
7488 34519	Vo Ngoc Anh
6936 34521	Werner Kie?ling
8231 34527	Ross Wilkinson
1756 34532	John Shepherd
1757 34533	Anne H. H. Ngu
9878 34534	James Bailey
9161 34542	Athman Bouguettaya
7757 34549	David Hawking
2556 34551	Rodney W. Topor
7619 34554	Nick Craswell
7760 34555	Trystan Upstill
1331 34558	Jeffrey Xu Yu
8576 34573	Bin Cui
3126 34574	Heng Tao Shen
3116 34589	Haifeng Jiang
3131 34606	Martin L. Kersten
6892 34612	Marco Patella
1758 34622	Jialie Shen
6576 34638	Hongjian Fan
8468 34651	Piero Fraternali
2416 34653	Letizia Tanca
9828 34658	Zengping Tian
8067 34667	Dieter Merkl
9687 34672	Noureddine Mouaddib
2512 34675	Oded Shmueli
1042 34679	Mukesh K. Mohania
9594 34680	Apostol Natsev
6754 34693	Kok-Leong Ong
1051 34694	Wee Keong Ng
1796 34695	Ee-Peng Lim
8850 34701	Shankar Pal
3340 34708	Dennis Pedersen
2113 34710	Torben Bach Pedersen
9007 34711	Hongwei Wu
9008 34712	Jianchang Xiao
3481 34718	Osmar R. Za?ane
3609 34719	Maria-Luiza Antonie
9847 34723	Qing Zhang
1004 34761	Dawei Song
8158 34798	William R. Hersh
1606 34803	Yaniv Bernstein
9364 34809	Florian Waas
8202 34812	Raymond Wan
2557 34813	Junhu Wang
8590 34818	Krithi Ramamritham
3085 34819	Raghu Ramakrishnan
8749 34848	Kihong Kim
3854 34856	Juntae Kim
7687 34885	Peter Wilkins
6529 34920	Shlomo Geva
8242 34921	Phil Vines
1199 35124	Xiaoyan Li
7241 35135	Yunghsiang S. Han
1657 35429	Fabio Crestani
8987 35433	Kazi A. Zaman
4849 35438	Ian H. Witten
6791 35440	Robert B. Allen
2680 35463	Christian B?hm
8438 35464	Bernhard Braunm¨¹ller
1395 35465	Hans-Peter Kriegel
3881 35466	Matthias Schubert
918 35468	Sourav S. Bhowmick
2734 35478	Holger Meyer
8504 35485	Tiziana Catarci
8505 35486	Giuseppe Santucci
2544 35505	Sunil Prabhakar
3093 35506	Kothuri Venkata Ravi Kanth
1161 35508	Divyakant Agrawal
1162 35509	Amr El Abbadi
1163 35511	Ambuj K. Singh
1557 35512	Carlos Ordonez
1558 35513	Edward Omiecinski
2186 35520	Boris Chidlovskii
2870 35523	Graham Cormode
4111 35528	Alexandrin Popescul
9957 35529	Gary William Flake
8546 35534	David M. Choy
7101 35536	Cynthia Dwork
7600 35555	Michael G. Christel
1625 35571	Arijit Sengupta
3193 35581	Wen-Syan Li
2816 35582	Yoshinori Hara
3460 35625	Jianlin Feng
882 35663	Clement T. Yu
1473 35664	King-Lup Liu
4303 35665	Wensheng Wu
1439 35666	Weiyi Meng
1816 35675	Aidong Zhang
8235 35680	Zonghuan Wu
2750 35699	Chris Gokey
3574 35718	Mehmet Kaya
2165 35732	Yiqing Tu
1058 35739	Arbee L. P. Chen
3918 35771	Jin Huang
2200 35785	Stefano Ferilli
2201 35786	Nicola Di Mauro
2202 35787	Teresa Maria Altomare Basile
3482 35815	Mohammad El-Hajj
3082 35818	Ada Wai-Chee Fu
1490 35856	Ting Chen
9521 35865	Hector Gonzalez
2288 35872	David R. Hardoon
2239 35873	Craig Saunders
4743 35874	S¨¢ndor Szedm¨¢k
2289 35875	John Shawe-Taylor
7398 35880	Olfa Nasraoui
4142 35947	Ricco Rakotomalala
950 35984	Hua Li
951 35986	Rafael Alonso
2101 36011	Alessandro Sperduti
2553 36021	Min Wang
6165 36045	Cuiping Li
1273 36094	Bin He
8704 36133	Bo Huang
7394 36180	Hui Yang
8906 36184	Jing Yang
9009 36216	Kun Yue
1332 36252	Cheqing Jin
4223 36276	Fengzhan Tian
9929 36321	Yu Chen
3781 36324	Liqiang Geng
4081 36327	Xiaogang Peng
8635 36459	Dean Jacobs
5006 36708	Philippe Codognet
10010 36746	Mehmet Emin D?nderler
6784 36926	Anthony J. Bagnall
5365 36942	Fr¨¦d¨¦ric Saubion
5366 36943	Fr¨¦d¨¦ric Lardeux
6876 37007	Alex Alves Freitas
4615 37034	Kenneth A. De Jong
6863 37060	Dirk Thierens
4216 37074	Mich¨¨le Sebag
5706 37115	Louise Trav¨¦-Massuy¨¨s
8412 37273	Donald D. Chamberlin
3023 37276	Michael Stonebraker
10069 37355	Ambj?rn Naeve
9920 37477	Gary Marsden
4717 37561	Simon Perkins
1402 37642	Raghu Krishnapuram
7349 37644	Vivek Jain
5602 37730	Silvia Rossi
1078 37732	R. Scott Cost
5158 37741	Fariba Sadri
5159 37742	Francesca Toni
932 37775	Enrico Blanzieri
5056 37829	Jan Broersen
9881 37845	Yariv Aridor
3615 37858	Brent Heeringa
4579 37868	Michael R. Lyu
1637 37889	Qiming Chen
1638 37891	Umeshwar Dayal
7598 37938	Ian Soboroff
3788 38005	Andrew E. Fano
1071 38060	George Karypis
4683 38102	Amy McGovern
4728 38113	Christian R. Shelton
1204 38139	James H. Kaufman
1205 38140	Joann Ruvolo
1206 38141	Daniel Alexander Ford
4530 38164	Mohammad Ghavamzadeh
5213 38167	Francesc Esteva
7549 38173	Yosi Mass
9628 38174	Victor B. Zordan
7901 38365	Elizabeth D. Liddy
4585 38405	Odest Chadwicke Jenkins
7118 38722	Victor Vianu
8690 38737	Hasan M. Jamil
3632 38766	Fosca Giannotti
3633 38767	Dino Pedreschi
2920 38830	Sergio Flesca
2921 38831	Sergio Greco
6960 38840	Elena Marchiori
889 38846	Elena Ferrari
2727 38848	Barbara Catania
6953 38878	Franco Turini
5224 38887	Francesco Scarcello
2203 38894	Floriana Esposito
5163 38895	Nicola Fanizzi
2055 38896	Donato Malerba
5605 38928	Paolo Torroni
6598 38933	Giuseppe Manco
5144 38952	Giovambattista Ianni
8647 38953	Vincenzino Lio
5692 38998	Frank Pfenning
7046 39045	Gilles Richard
3717 39114	Michael R. Berthold
2067 39162	Mark T. Keane
2130 39166	Nicola Stokes
2131 39167	Joe Carthy
2076 39233	Maurice Coyle
10070 39268	Michael Sintek
9643 39288	Carole A. Goble
5665 39314	Jill Freyne
5666 39336	Keith Bradley
5573 39337	Rachael Rafter
5667 39340	Peter Briggs
7767 39364	Daqing He
5126 39365	Marco Maggini
1092 39371	Paul-Alexandru Chirita
1496 39389	Wei-Ying Ma
5304 39419	Anthony Jameson
4158 39453	Henry Tirri
5516 39551	John O'Donovan
2145 39552	John Dunnion
7743 39583	Daniela Petrelli
1917 39596	Joemon M. Jose
1708 39704	Susan Gauch
5227 39740	Christine Largou?t
1609 39748	Vlado Keselj
5401 39764	Churn-Jung Liau
4010 39784	Jie Cheng
6526 39787	Ahmed Amrani
6527 39789	Oriane Matte-Tailliez
1303 39792	Aijun An
1304 39796	Xiangji Huang
3838 39810	Mohamed S. Kamel
3782 39839	Howard J. Hamilton
2198 39848	Chris Drummond
2785 39849	Todd Eavis
4340 39886	Cory J. Butz
6604 39906	Jianchao Han
6877 39917	Nelson F. F. Ebecken
8026 39921	Fuchun Peng
6602 39968	Kamran Karimi
1166 39971	J?rg Sander
7017 39972	Mark Schmidt
4760 40044	Malcolm R. K. Ryan
3958 40048	Yuhong Yan
5651 40090	Juichi Miyamichi
6510 40097	Engelbert Mephu Nguifo
4341 40101	Hong Yao
2344 40120	Huajie Zhang
4375 40137	Tetsuya Yoshida
6613 40142	Robert J. Hilderman
4662 40148	Jianning Wang
1298 40184	Xiaohua Hu
7276 40225	Guichong Li
4664 40245	Mario Marchand
8036 40513	Victoria S. Uren
5699 40538	Gianluca Torta
2146 40551	Ruichao Wang
2147 40552	William P. Doran
2132 40553	Eamonn Newman
4082 40628	Ben Choi
4256 40693	J?rg Ontrup
1754 41288	Mohamed A. Sharaf
3581 41438	Hamad Alhammady
3629 41715	Emilio Corchado
3630 41716	Colin Fyfe
7661 41726	Gareth J. F. Jones
7662 41727	Adenike M. Lam-Adesina
5528 41749	Derry O'Sullivan
2380 41953	Paul Watson
8117 41984	Qing Yu
8459 42060	Jihad Boulos
9914 42089	Dieter Fensel
2182 42129	Yeali S. Sun
9536 42206	Rim Moussa
2531 42315	Giuseppe Sindoni
2532 42316	Leonardo Tininini
7264 42459	Daniel Keren
4447 42467	Daphna Weinshall
4424 42529	Peter A. Flach
3618 42545	Setsuo Arikawa
9111 42601	Claudio Bettini
2109 42604	Gianni Amati
5514 42610	Alessandro Micarelli
4425 42620	Annalisa Appice
2056 42621	Michelangelo Ceci
5196 42643	Marco Botta
3634 42665	Maurizio Atzori
4403 42708	Margherita Berardi
7573 42727	Fabio Ciravegna
5117 42730	Claudia Picardi
1413 42773	Alberto Lavelli
4496 42785	Roberto Esposito
5585 42828	Linda C. van der Gaag
5296 42836	Hiroshi Ishiguro
5197 42846	Ugo Galassi
7039 42866	Ruggero G. Pensa
6882 42877	Clara Pizzuti
5644 42890	Alessandro Serra
3795 42914	Man Leung Wong
3796 42915	Kwong-Sak Leung
909 42942	Diego Sona
4515 43090	Dragan Gamberger
7006 43168	Michael W. Kattan
5586 43188	Silja Renooij
2417 43192	Barbara Oliboni
6919 43199	Michael Egmont-Petersen
5868 43229	Peter Antal
5869 43230	Geert Fannes
5676 43380	Michel C. A. Klein
1861 43411	Volker Tresp
7063 43429	Francesca Demichelis
4582 43445	Aleks Jakulin
6946 43459	¨¦lisa Fromont
4006 43512	David G. Lindsay
4007 43513	Sian Cox
6157 43559	Minca Mramor
6158 43560	Gregor Leban
10110 43651	Chris Wroe
7225 43728	Marc Spielmann
5946 43740	Padhraic Smyth
3204 43770	Richard T. Snodgrass
3399 43856	Zhiyong Huang
5431 43964	Carlos Areces
936 44089	Sunil Choenni
937 44090	Henk M. Blanken
5131 44170	Patrick Doherty
5132 44171	Witold Lukaszewicz
7780 44267	Nathalie Hernandez
3877 44337	Milos Kovacevic
3878 44338	Michelangelo Diligenti
2771 44418	Joseph Davis
6898 44452	Ioannis P. Vlahavas
2171 44455	Fritz Wysotzki
4178 44468	Zhong Zhang
7771 44662	Muhammad Younas
6685 44860	Chun Hung Li
2637 44881	Gautam Das
4030 44968	Panos M. Pardalos
7772 45015	Yih-Ling Hedley
7773 45016	Anne E. James
8197 45058	Robert W. P. Luk
7788 45135	Kazunori Matsumoto
3296 45194	Masato Oguchi
1361 45372	Jan-Ming Ho
1948 45522	Xing Li
9857 45537	Hai Wang
3955 45822	Simon Sheu
3170 45845	Kwong Yuen Lai
4264 45914	Shian-Shyong Tseng
9321 46043	Jianhua Lu
6803 46079	Vincent Shin-Mu Tseng
2895 46224	Wei Hong
5917 46238	Xiaodong Zhou
2592 46287	Wolf Siberski
2593 46418	Wolf-Tilo Balke
8469 46502	Marco Brambilla
6981 46528	Jee-Hyub Kim
3804 46529	Melanie Hilario
2461 46538	Antoine Mensch
5682 46656	Atsuhiro Takasu
2705 46689	Fabio Porto
4672 46718	Lei Yu
4382 47075	Chunnian Liu
9360 47128	Eric Simon
1362 47352	Hung-Yu Kao
9606 47632	Tsutomu Terada
9858 47683	Ji Zhang
7789 47794	Kazuo Hashimoto
4245 47927	Terumasa Aoki
6655 48152	Michael K. Ng
5254 48161	Harry Wechsler
4718 48236	James Theiler
4957 48445	Tamara Babaian
2902 48481	Denise Draper
5356 48499	Philippe Laborie
5534 48515	Luca Spalazzi
4565 48555	Okhtay Ilghami
5718 48573	Yevgeniy Vorobeychik
4750 48574	Matthew R. Rudary
4905 48585	Barbara Engelhardt
3106 48604	Ehud Gudes
5485 48620	Fusun Yaman
4319 48623	Hong Cheng
4988 48642	J. Benton
5611 48646	Jason Wolfe
4597 48693	Anders Jonsson
2309 48697	Fei Xiao
4764 48698	Soumya Ray
8058 48749	Tao Qin
6003 48750	Tie-Yan Liu
8059 48751	Xu-Dong Zhang
8168 48754	Kyoji Umemura
1704 48763	Jacques Savoy
6553 48775	Ki Chan
1936 48785	Xing Xie
1886 48788	Hua-Jun Zeng
7667 48797	Koji Eguchi
10163 48807	Yizhou Lu
1497 48809	Benyu Zhang
1969 48810	Wensi Xi
7857 48829	Sang-Bum Kim
2160 48840	Nie Yu
2161 48841	Lingpeng Yang
2064 48845	Ming-Hung Hsu
2065 48846	Ming-Feng Tsai
7810 48849	Guoping Hu
7936 48852	Mingjing Li
6389 48853	Zhiwei Li
7866 48858	Ruizhang Huang
8258 48880	Changsheng Xu
5953 48896	Won Suk Lee
8078 48897	Tetsuya Sakai
7833 48901	In-Ho Kang
7668 48928	Keizo Oyama
7846 48949	Xin Fu
1612 48968	Huyen-Trang Vu
1613 48969	Patrick Gallinari
8198 48971	Kui-Lam Kwok
1658 48988	Shengli Wu
7925 48989	Donghai Guan
7926 48990	Byeong Man Kim
10168 49003	Xinyi Yin
8289 49014	Dell Zhang
1810 49045	Hongbo Xu
2018 49055	Cathal Gurrin
4043 49077	Wenyin Liu
9244 49167	Ju-Hong Lee
3558 49403	Hillol Kargupta
2251 49427	Mark Last
3993 49440	Ning Zhong
9568 49644	Andreas Meier
5124 49721	Louise A. Dennis
3307 49871	Andrzej Cichocki
3308 49873	Donald Baker
9277 49929	Paolo Missier
3370 49946	Peter Dadam
3371 49947	Stefanie Rinderle
2676 50003	Deepak Goyal
7150 50034	David Scot Taylor
6088 50071	Geetha Jagannathan
3626 50079	Wojciech Szpankowski
2986 50093	Balachander Krishnamurthy
4900 50098	Igor L. Markov
1992 50116	Gonzalo Navarro
5886 50193	Herv¨¦ Br?nnimann
7431 50250	Holger Bast
2961 50300	Ashish Goel
2998 50301	Ramesh Govindan
2585 50302	Rajeev Motwani
2281 50556	Ashutosh Garg
3820 50558	Jun Zhang 0002
5842 50568	Michinari Momma
4468 50569	Nello Cristianini
5059 50586	Andrei A. Bulatov
3619 50594	Hiroki Arimura
2222 50600	Marcus Hutter
7259 50601	Hiroshi Sakamoto
4820 50609	N. V. Vinodchandran
4436 50623	Avrim Blum
4025 50629	Yang Dai
4294 50634	Rohan A. Baxter
4500 50650	Eyal Even-Dar
968 50664	Nadav Eiron
4511 50667	Leigh J. Fitzgibbon
4406 50673	Alex J. Smola
4836 50679	S. V. N. Vishwanathan
5568 50682	Dav Zimak
2871 50694	Piotr Indyk
2240 50724	Volodya Vovk
6258 50726	Shyam Kapur
6586 50729	Tetsuhiro Miyahara
6903 50732	Ross D. King
9041 50737	Wolfgang Lindner
4461 50743	Corinna Cortes
4521 50745	Adam Kowalczyk
6874 50747	Rudolf Kruse
3718 50748	Christian Borgelt
5381 50751	Shane Legg
6759 50757	Yusuke Suzuki
6587 50758	Takayoshi Shoudai
6588 50759	Tomoyuki Uchida
4773 50786	Robert E. Schapire
4650 50789	Jaz S. Kandola
4837 50791	M. Narasimha Murty
6770 50798	Atsuyoshi Nakamura
6223 50799	Jun-ichi Takeuchi
2241 50806	Ilia Nouretdinov
6664 50849	Yuko Itokawa
2256 50856	Jingdong Wang
2257 50857	Jianguo Lee
6484 50863	Kenichi Yoshida
4393 50865	Setsuo Ohsuga
6826 50927	Ke Yin
5414 50948	Brian Rodrigues
4580 50955	Haiqin Yang
4714 50981	Angelo C. Restificar
7094 51072	Michael Benedikt
2976 51149	Laks V. S. Lakshmanan
8599 51252	Monica Marcus
9894 51322	Sebastiano Vigna
8392 51414	Mehmet Altinel
3065 51416	Ugur ?etintemel
3252 51417	Michael J. Franklin
9691 51453	Ryoji Kataoka
2386 51527	Michalis Vazirgiannis
4623 51659	Bir Bhanu
5742 51774	Yaneer Bar-Yam
4774 51785	J¨¢nos A. Csirik
5214 51793	Lluis Godo
6465 51798	Dean P. Foster
6799 51803	Xiaoyang Tan
5532 51811	Yiqiang Chen
4738 51844	Yuan (Alan) Qi
7317 51857	Raghu Machiraju
6592 51919	Warodom Geamsakul
4220 51920	Kouzou Ohara
6067 51921	Hideto Yokoi
6068 51922	Katsuhiko Takabayashi
7023 51929	Shinya Kitaguchi
4383 51933	Muneaki Ohshima
10076 52084	Christoph Schmitz
1751 52089	James G. Shanahan
2248 52093	Michael Wurst
5265 52098	Xiangen Hu
6893 52135	Ilaria Bartolini
2149 52150	Ryen W. White
1212 52163	James C. French
7918 52168	Kyoung-Mi Lee
2026 52178	Stefan M. R¨¹ger
1700 52187	Thijs Westerveld
1701 52188	Arjen P. de Vries
1702 52189	Georgina Ram¨ªrez
6986 52200	Dimitrios Mavroeidis
1647 52203	Wolfgang M¨¹ller 0002
1648 52208	Martin Eisenhardt
7494 52222	Stefano Berretti
7537 52223	Pietro Pala
938 52247	Djoerd Hiemstra
5757 52685	Chung-hye Han
7491 52728	Douglas W. Oard
5024 52819	Rie Kubota Ando
1531 52890	Chris Buckley
6026 52928	Matthew Hurst
1426 52952	Xiaoyong Liu
7902 52954	Anne Diekema
5732 53167	Werner Dubitzky
2214 53238	Geoffrey Holmes
3713 53459	Nidal M. Zeidat
2751 53506	Zina Ben-Miled
969 54033	Ning Li
7076 54222	Haifeng Shen
6023 54359	Kevin S. McCurley
3908 54427	Jin-yi Cai
9018 54437	Qi Cheng
7102 54541	Kobbi Nissim
8991 54542	Brian Murphy
9888 54644	Bernd Meyer
9646 55155	Hans-Arno Jacobsen
2999 55174	Ramakrishna Gummadi
5535 55407	Loris Penserini
910 55413	Giordano Adami
8616 55428	George H. L. Fletcher
8859 55449	Bo Ling
3323 55450	Wee Siong Ng
8860 55451	Yanfeng Shu
10077 55470	Mario T. Schlosser
10078 55476	Martin Wolpers
10079 55477	Ingo Brunkhorst
8549 55478	Brent N. Chun
4327 55515	Jianping Zhang
7966 55532	Sharon McDonald
6662 55668	Peter Kunath
3882 55669	Alexey Pryakhin
3884 55670	Matthias Renz
6731 55673	W. Bret Church
3094 55688	Siva Ravada
3725 55689	Huiqing Liu
1546 55691	Hwee-Leng Ong
1299 55694	Illhoi Yoo
4609 55827	Kaibo Duan
4118 55928	Gang Wu
1441 55936	Liang Huai Yang
1418 55937	Mong-Li Lee
6397 56013	Chen Wang
1828 56021	Robert Warren
7345 56035	Satish Tadepalli
6296 56037	Richard F. Helm
8204 56076	Marcel J. T. Reinders
8441 56091	Arthur Zimek
3304 56129	Sudarshan Murthy
9688 56150	R¨¦gis Saint-Paul
10147 56171	Jing Sun
10059 56323	Hisashi Shimamura
10060 56324	Hajime Takano
4362 56478	Akira Okada
9079 56482	Raja Bose
5904 56567	Martin K?hler
3454 56573	Jianyong Wang
7217 56651	Helmut Seidl
7221 56663	William Maniatty
3974 56678	Salvatore Orlando
8910 56855	Michael Rys
9164 57624	Carlos A. Heuser
7301 58359	John H. Leuchner
5536 58395	Maurizio Panti
1444 58534	David Finkel
6746 58574	John A. Keane
5983 59071	Takehisa Yairi
3532 59075	Simon Fong
6043 59127	Boulos Harb
7125 59138	Noga Alon
7160 59162	Moni Naor
7122 59172	Ziv Bar-Yossef
5919 59174	Ravi Kumar
4277 59205	Sourav Chakraborty
8428 59275	Sumit Ganguly
9933 59299	Nicole Immorlica
5185 59303	Pawel Zielinski
9071 59322	Ying Xu 0002
2805 59383	S. Muthukrishnan
7182 59400	Swastik Kopparty
7202 59445	Mihalis Yannakakis
4022 59475	Tao Liu
7811 59508	Shuming Shi
8823 59530	Yu Jiang
1993 59951	Pablo de la Fuente
1006 60018	Charles L. A. Clarke
4106 60095	San-Yih Hwang
3210 60184	Wenhui Zhang
974 60374	Sanghyun Park
5090 60436	Chiu Wo Choi
9015 60684	Yali Zhu
7578 60818	Geguang Pu
6362 60956	Kwan-Liu Ma
6363 60972	Soon Tee Teoh
4721 61002	DucDung Nguyen
2273 61003	Tu Bao Ho
6069 61004	Saori Kawasaki
3266 61203	Xiaofeng Meng
3034 61209	Qiong Luo
6004 61216	Bin Gao
3929 61238	Shipeng Yu
9010 61261	Zhimao Guo
1937 61298	Chuang Wang
3271 61323	Hui-I Hsiao
8419 61324	Karen Brannon
3897 61328	Chenyong Hu
6557 61340	Kuo-Yu Huang
6558 61341	Chia-Hui Chang
1498 61406	Fengshan Bai
2264 61412	Satoshi Oyama
7888 61459	Huaizhong Kou
1687 61475	Weiguo Fan
8298 61476	Lei Ji
1481 61492	Jiaheng Lu
961 61493	Tok Wang Ling
1333 61498	Weining Qian
5796 61529	Shifu Chen
10099 61565	Akiyo Nadamoto
7819 61578	Rieko Kadobayashi
6533 61596	Deepak Kolippakkam
3661 61597	Huan Liu
4036 61632	Laurence A. F. Park
10144 61690	Kazunari Sugiyama
1407 61702	Jayant R. Haritsa
1405 61718	Tadahiko Kumamoto
6398 61766	Yongtai Zhu
6767 61767	Tianyi Wu
6656 61784	Joshua Zhexue Huang
1334 61803	Chaofeng Sha
6005 61814	QianSheng Cheng
1877 61834	Yitong Wang
1949 61841	Shaozhi Ye
3037 61860	Hai Yu
1223 61874	Kun-Lung Wu
1945 61875	Shyh-Kwei Chen
2274 61891	Yasushi Inoguchi
8793 61927	Yubin Bao
7724 62079	Takayuki Tamura
7579 62094	Liu Wenyin
3006 62104	Zhiming Ding
2941 62130	Gabriel Pui Cheong Fung
6703 62131	Zheng Liu
7242 62152	Shigang Chen
1812 62156	Baihua Zheng
2375 62261	Erhard Rahm
1952 62330	Arie Shoshani
1857 62337	Kai Yu
3470 62782	Richard R. Muntz
5646 63113	Mathieu Serrurier
10022 63323	Ramesh C. Agarwal
8470 63439	Sara Comai
1776 63441	A. Prasad Sistla
2536 63442	Ouri Wolfson
4901 63637	Karem A. Sakallah
5383 63737	Gaetano Borriello
1252 64085	Sandeep Gupta
10014 64334	Yi Shang
4592 64380	Vladimir Pavlovic
8818 65081	Ueli M. Maurer
4501 65101	Yishay Mansour
6046 65123	Ravi Sundaram
6473 65136	Sheng Zhong
4419 65343	Nicos Angelopoulos
2806 65428	Zhiyuan Chen
5920 65491	Prabhakar Raghavan
1976 65515	I. V. Ramakrishnan
3014 65558	Dan Suciu
1068 65890	Susan B. Davidson
2277 65896	Jan Van den Bussche
7048 65946	Salvatore Rinzivillo
5433 66019	Thomas Linke
9711 66048	Ismail Hakki Toroslu
4902 66153	Fadi A. Aloul
5580 66154	Arathi Ramani
5407 66174	Mark H. Liffiton
3568 66373	Jong-Sheng Cherng
3097 66706	Hiroaki Etoh
5970 67147	Rahul Kumar
7506 67292	G. Kim
8777 68141	Zhihua Wang
883 68590	Carlo Curino
10067 68915	Henry M. Levy
9068 68926	Armando Fox
4872 68972	Richard M. Karp
975 68982	Khalil Amiri
